Logan 5.1.1
rawFileName="C:\Users\t.polglaze\GPS Stint Detector\AHL 2014 GPS Files - Qld v ACT\Dylan Wotherspoon 4710 201410041308.raw"
From=0:00.0, To=1:52:29.9
Date=04Oct2014
Time=13:08:07
Athlete=Dylan Wotherspoon
EventDescription=AHL 2014 Game 1 QLD v ACT
Time, Longitude, Latitude, Plyr. Load, GPS Time, 
0:00.01, 138.60764236, -34.8424318, 0.115, .., 
0:00.04, 138.60764236, -34.8424318, 0.122, .., 
0:00.14, 138.60764236, -34.8424318, 0.147, .., 
0:00.24, 138.60764236, -34.8424318, 0.175, .., 
0:00.34, 138.60764236, -34.8424318, 0.205, .., 
0:00.44, 138.60764236, -34.8424318, 0.229, .., 
0:00.54, 138.60764236, -34.8424318, 0.236, .., 
0:00.64, 138.60764236, -34.8424318, 0.225, .., 
0:00.74, 138.60764236, -34.8424318, 0.192, .., 
0:00.84, 138.60764236, -34.8424318, 0.148, .., 
0:00.94, 138.60764236, -34.8424318, 0.106, .., 
0:01.04, 138.60764236, -34.8424318, 0.073, .., 
0:01.13, 138.60764236, -34.8424318, 0.052, .., 
0:01.24, 138.60764236, -34.8424318, 0.039, .., 
0:01.34, 138.60764236, -34.8424318, 0.033, .., 
0:01.44, 138.60764236, -34.8424318, 0.028, .., 
0:01.54, 138.60764236, -34.8424318, 0.025, .., 
0:01.64, 138.60764236, -34.8424318, 0.022, .., 
0:01.74, 138.60764236, -34.8424318, 0.021, .., 
0:01.84, 138.60764236, -34.8424318, 0.022, .., 
0:01.94, 138.60764236, -34.8424318, 0.026, .., 
0:02.04, 138.60764236, -34.8424318, 0.031, .., 
0:02.14, 138.60764236, -34.8424318, 0.036, .., 
0:02.24, 138.60764236, -34.8424318, 0.039, .., 
0:02.34, 138.60764236, -34.8424318, 0.039, .., 
0:02.44, 138.60764236, -34.8424318, 0.037, .., 
0:02.54, 138.60764236, -34.8424318, 0.034, .., 
0:02.64, 138.60764236, -34.8424318, 0.032, .., 
0:02.74, 138.60764236, -34.8424318, 0.031, .., 
0:02.84, 138.60764236, -34.8424318, 0.031, .., 
0:02.94, 138.60764236, -34.8424318, 0.032, .., 
0:03.04, 138.60764236, -34.8424318, 0.033, .., 
0:03.14, 138.60764236, -34.8424318, 0.034, .., 
0:03.24, 138.60764236, -34.8424318, 0.033, .., 
0:03.34, 138.60764236, -34.8424318, 0.031, .., 
0:03.44, 138.60764236, -34.8424318, 0.028, .., 
0:03.54, 138.60764236, -34.8424318, 0.023, .., 
0:03.64, 138.60764236, -34.8424318, 0.019, .., 
0:03.74, 138.60764236, -34.8424318, 0.016, .., 
0:03.84, 138.60764236, -34.8424318, 0.015, .., 
0:03.94, 138.60764236, -34.8424318, 0.016, .., 
0:04.04, 138.60764236, -34.8424318, 0.019, .., 
0:04.13, 138.60764236, -34.8424318, 0.024, .., 
0:04.24, 138.60764236, -34.8424318, 0.030, .., 
0:04.34, 138.60764236, -34.8424318, 0.036, .., 
0:04.44, 138.60764236, -34.8424318, 0.043, .., 
0:04.54, 138.60764236, -34.8424318, 0.049, .., 
0:04.63, 138.60764236, -34.8424318, 0.054, .., 
0:04.74, 138.60764236, -34.8424318, 0.055, .., 
0:04.84, 138.60764236, -34.8424318, 0.051, .., 
0:04.94, 138.60764236, -34.8424318, 0.044, .., 
0:05.04, 138.60764236, -34.8424318, 0.034, .., 
0:05.14, 138.60764236, -34.8424318, 0.025, .., 
0:05.24, 138.60764236, -34.8424318, 0.020, .., 
0:05.34, 138.60764236, -34.8424318, 0.022, .., 
0:05.44, 138.60764236, -34.8424318, 0.032, .., 
0:05.54, 138.60764236, -34.8424318, 0.044, .., 
0:05.64, 138.60764236, -34.8424318, 0.056, .., 
0:05.74, 138.60764236, -34.8424318, 0.063, .., 
0:05.84, 138.60764236, -34.8424318, 0.063, .., 
0:05.94, 138.60764236, -34.8424318, 0.055, .., 
0:06.04, 138.60764236, -34.8424318, 0.044, .., 
0:06.14, 138.60764236, -34.8424318, 0.033, .., 
0:06.24, 138.60764236, -34.8424318, 0.025, .., 
0:06.34, 138.60764236, -34.8424318, 0.021, .., 
0:06.44, 138.60764236, -34.8424318, 0.021, .., 
0:06.54, 138.60764236, -34.8424318, 0.021, .., 
0:06.64, 138.60764236, -34.8424318, 0.023, .., 
0:06.74, 138.60764236, -34.8424318, 0.023, .., 
0:06.84, 138.60764236, -34.8424318, 0.023, .., 
0:06.94, 138.60764236, -34.8424318, 0.022, .., 
0:07.04, 138.60764236, -34.8424318, 0.022, .., 
0:07.14, 138.60764236, -34.8424318, 0.023, .., 
0:07.24, 138.60764236, -34.8424318, 0.025, .., 
0:07.34, 138.60764236, -34.8424318, 0.028, .., 
0:07.44, 138.60764236, -34.8424318, 0.031, .., 
0:07.54, 138.60764236, -34.8424318, 0.032, .., 
0:07.64, 138.60764236, -34.8424318, 0.031, .., 
0:07.74, 138.60764236, -34.8424318, 0.030, .., 
0:07.84, 138.60764236, -34.8424318, 0.028, .., 
0:07.94, 138.60764236, -34.8424318, 0.027, .., 
0:08.03, 138.60764236, -34.8424318, 0.027, .., 
0:08.14, 138.60764236, -34.8424318, 0.029, .., 
0:08.24, 138.60764236, -34.8424318, 0.030, .., 
0:08.34, 138.60764236, -34.8424318, 0.031, .., 
0:08.44, 138.60764236, -34.8424318, 0.031, .., 
0:08.53, 138.60764236, -34.8424318, 0.031, .., 
0:08.64, 138.60764236, -34.8424318, 0.030, .., 
0:08.74, 138.60764236, -34.8424318, 0.029, .., 
0:08.84, 138.60764236, -34.8424318, 0.029, .., 
0:08.94, 138.60764236, -34.8424318, 0.029, .., 
0:09.03, 138.60764236, -34.8424318, 0.029, .., 
0:09.14, 138.60764236, -34.8424318, 0.028, .., 
0:09.24, 138.60764236, -34.8424318, 0.027, .., 
0:09.34, 138.60764236, -34.8424318, 0.027, .., 
0:09.44, 138.60764236, -34.8424318, 0.027, .., 
0:09.53, 138.60764236, -34.8424318, 0.028, .., 
