Logan 5.1.1
rawFileName="C:\Users\t.polglaze\GPS Stint Detector\AHL 2014 GPS Files - Qld v ACT\Matt Gohdes 4712 201410041307.raw"
From=0:00.0, To=1:54:36.4
Date=04Oct2014
Time=13:07:47
Athlete=Matt Gohdes
EventDescription=AHL 2014 Game 1 QLD v ACT
Time, Longitude, Latitude, Plyr. Load, GPS Time, 
0:00.01, 138.60803026, -34.8416073, 0.090, .., 
0:00.07, 138.60803026, -34.8416073, 0.090, .., 
0:00.17, 138.60803026, -34.8416073, 0.081, .., 
0:00.27, 138.60803026, -34.8416073, 0.066, .., 
0:00.37, 138.60803026, -34.8416073, 0.052, .., 
0:00.47, 138.60803026, -34.8416073, 0.045, .., 
0:00.56, 138.60803026, -34.8416073, 0.042, .., 
0:00.67, 138.60803026, -34.8416073, 0.043, .., 
0:00.77, 138.60803026, -34.8416073, 0.042, .., 
0:00.87, 138.60803026, -34.8416073, 0.041, .., 
0:00.97, 138.60803026, -34.8416073, 0.039, .., 
0:01.07, 138.60803026, -34.8416073, 0.040, .., 
0:01.17, 138.60803026, -34.8416073, 0.046, .., 
0:01.27, 138.60803026, -34.8416073, 0.056, .., 
0:01.37, 138.60803026, -34.8416073, 0.069, .., 
0:01.47, 138.60803026, -34.8416073, 0.082, .., 
0:01.57, 138.60803026, -34.8416073, 0.092, .., 
0:01.67, 138.60803026, -34.8416073, 0.093, .., 
0:01.77, 138.60803026, -34.8416073, 0.087, .., 
0:01.87, 138.60803026, -34.8416073, 0.074, .., 
0:01.97, 138.60803026, -34.8416073, 0.059, .., 
0:02.06, 138.60803026, -34.8416073, 0.046, .., 
0:02.17, 138.60803026, -34.8416073, 0.037, .., 
0:02.27, 138.60803026, -34.8416073, 0.033, .., 
0:02.37, 138.60803026, -34.8416073, 0.033, .., 
0:02.47, 138.60803026, -34.8416073, 0.037, .., 
0:02.57, 138.60803026, -34.8416073, 0.042, .., 
0:02.67, 138.60803026, -34.8416073, 0.048, .., 
0:02.77, 138.60803026, -34.8416073, 0.054, .., 
0:02.87, 138.60803026, -34.8416073, 0.063, .., 
0:02.97, 138.60803026, -34.8416073, 0.076, .., 
0:03.07, 138.60803026, -34.8416073, 0.095, .., 
0:03.17, 138.60803026, -34.8416073, 0.122, .., 
0:03.27, 138.60803026, -34.8416073, 0.153, .., 
0:03.37, 138.60803026, -34.8416073, 0.185, .., 
0:03.47, 138.60803026, -34.8416073, 0.212, .., 
0:03.57, 138.60803026, -34.8416073, 0.231, .., 
0:03.67, 138.60803026, -34.8416073, 0.240, .., 
0:03.77, 138.60803026, -34.8416073, 0.242, .., 
0:03.87, 138.60803026, -34.8416073, 0.241, .., 
0:03.97, 138.60803026, -34.8416073, 0.238, .., 
0:04.07, 138.60803026, -34.8416073, 0.234, .., 
0:04.17, 138.60803026, -34.8416073, 0.229, .., 
0:04.26, 138.60803026, -34.8416073, 0.224, .., 
0:04.37, 138.60803026, -34.8416073, 0.220, .., 
0:04.47, 138.60803026, -34.8416073, 0.218, .., 
0:04.57, 138.60803026, -34.8416073, 0.224, .., 
0:04.67, 138.60803026, -34.8416073, 0.240, .., 
0:04.76, 138.60803026, -34.8416073, 0.270, .., 
0:04.87, 138.60803026, -34.8416073, 0.318, .., 
0:04.97, 138.60803026, -34.8416073, 0.377, .., 
0:05.07, 138.60803026, -34.8416073, 0.435, .., 
0:05.17, 138.60803026, -34.8416073, 0.477, .., 
0:05.27, 138.60803026, -34.8416073, 0.492, .., 
0:05.37, 138.60803026, -34.8416073, 0.484, .., 
0:05.47, 138.60803026, -34.8416073, 0.478, .., 
0:05.57, 138.60803026, -34.8416073, 0.487, .., 
0:05.67, 138.60803026, -34.8416073, 0.516, .., 
0:05.77, 138.60803026, -34.8416073, 0.545, .., 
0:05.87, 138.60803026, -34.8416073, 0.548, .., 
0:05.97, 138.60803026, -34.8416073, 0.507, .., 
0:06.07, 138.60803026, -34.8416073, 0.422, .., 
0:06.17, 138.60803026, -34.8416073, 0.320, .., 
0:06.27, 138.60803026, -34.8416073, 0.232, .., 
0:06.37, 138.60803026, -34.8416073, 0.177, .., 
0:06.47, 138.60803026, -34.8416073, 0.159, .., 
0:06.57, 138.60803026, -34.8416073, 0.168, .., 
0:06.67, 138.60803026, -34.8416073, 0.181, .., 
0:06.77, 138.60803026, -34.8416073, 0.188, .., 
0:06.87, 138.60803026, -34.8416073, 0.185, .., 
0:06.97, 138.60803026, -34.8416073, 0.179, .., 
0:07.07, 138.60803026, -34.8416073, 0.177, .., 
0:07.17, 138.60803026, -34.8416073, 0.190, .., 
0:07.27, 138.60803026, -34.8416073, 0.220, .., 
0:07.37, 138.60803026, -34.8416073, 0.266, .., 
0:07.47, 138.60803026, -34.8416073, 0.321, .., 
0:07.57, 138.60803026, -34.8416073, 0.374, .., 
0:07.67, 138.60803026, -34.8416073, 0.415, .., 
0:07.77, 138.60803026, -34.8416073, 0.431, .., 
0:07.87, 138.60803026, -34.8416073, 0.417, .., 
0:07.97, 138.60803026, -34.8416073, 0.379, .., 
0:08.07, 138.60803026, -34.8416073, 0.333, .., 
0:08.17, 138.60803026, -34.8416073, 0.295, .., 
0:08.27, 138.60803026, -34.8416073, 0.272, .., 
0:08.36, 138.60803026, -34.8416073, 0.261, .., 
0:08.47, 138.60803026, -34.8416073, 0.252, .., 
0:08.57, 138.60803026, -34.8416073, 0.236, .., 
0:08.67, 138.60803026, -34.8416073, 0.213, .., 
0:08.77, 138.60803026, -34.8416073, 0.189, .., 
0:08.86, 138.60803026, -34.8416073, 0.171, .., 
0:08.97, 138.60803026, -34.8416073, 0.164, .., 
